ym,dunemp,dltu,dfedfunds,dcorepce,dnomwage,dconspc,dtightness
2008m1,0,.0080000004,.0166,.0011868441,-.0020266308,-.0036208618,.10941891
2008m2,-.001,.001,.0070000002,.00059173378,-.00087858253,-.002316385,.045598324
2008m3,.001,-.0080000004,.0033,.00098265987,.0016687472,-.0010138764,-.0044747414
2008m4,0,0,0,0,0,0,0
2008m5,.0040000002,.0060000001,-.003,.00025846277,.0025381891,.001011903,-.065365337
2008m6,.0060000001,.0049999999,-.0027999999,.00098213367,.0027320646,.0020218298,-.16877635
2008m7,.0080000004,.012,-.0027000001,.0012144068,.0038572364,-.00025399853,-.21259901
2008m8,.011,.021,-.0027999999,.00087024691,.0068495865,-.0025318086,-.27225211
2008m9,.011,.035999998,-.0046999999,.000321662,.0056258109,-.0048116031,-.36802498
2008m10,.015,.046,-.0131,-.0026953102,.0053333021,-.01404168,-.37444702
2008m11,.017999999,.034000002,-.0189,-.0047262767,.0087797251,-.023273746,-.44504461
2008m12,.023,.054000001,-.021199999,-.0068022464,.0094138291,-.032507807,-.49806952
2009m1,.028000001,.048999999,-.021299999,-.008700016,.0086394418,-.036886085,-.58057868
2009m2,.033,.057,-.0206,-.0094948728,.0073924442,-.041266363,-.59253144
2009m3,.037,.064999998,-.021,-.010366632,.0084805014,-.045648642,-.6522795
2009m4,.039999999,.093999997,-.021299999,-.0097103305,.0076920916,-.046844732,-.68679219
2009m5,.044,.093000002,-.021,-.010533954,.0059630964,-.04804283,-.67124331
2009m6,.045000002,.113,-.0207,-.010849901,.0051652882,-.04924294,-.68307006
2009m7,.045000002,.163,-.021199999,-.011582891,.0052986569,-.048398234,-.71285719
2009m8,.046,.16599999,-.021199999,-.011691293,.0054273014,-.047555543,-.70436019
2009m9,.048,.189,-.021299999,-.011525867,.0046153199,-.046714872,-.6938889
2009m10,.050000001,.189,-.021600001,-.0093966173,.0047344854,-.047118701,-.70784503
2009m11,.048999999,.21600001,-.021600001,-.010107818,.0048488961,-.047524549,-.70371002
2009m12,.048999999,.227,-.021600001,-.010853441,.002618813,-.047932427,-.69495744
2010m1,.048,.23899999,-.0217,-.010974496,.0027236831,-.047773127,-.65131795
2010m2,.048,.228,-.021500001,-.011703942,.0023558224,-.047615856,-.67516476
2010m3,.048999999,.255,-.021199999,-.011798199,.00011138292,-.047460623,-.67365563
