year,month,ym,short_ue,unemploy,employ,short_ue_frac,short_ue_frac_adj,short_ue_adj
1948,1,1948m1,1188,2034,58061,,,1188
1948,2,1948m2,1377,2328,58196,,,1377
1948,3,1948m3,1279,2399,57671,,,1279
1948,4,1948m4,1461,2386,58291,,,1461
1948,5,1948m5,1146,2118,57854,,,1146
1948,6,1948m6,1287,2214,58743,,,1287
1948,7,1948m7,1259,2213,58968,,,1259
1948,8,1948m8,1511,2350,58456,,,1511
1948,9,1948m9,1245,2302,58513,,,1245
1948,10,1948m10,1210,2259,58387,,,1210
1948,11,1948m11,1251,2285,58417,,,1251
1948,12,1948m12,1432,2429,58740,,,1432
1949,1,1949m1,1510,2596,58175,,,1510
1949,2,1949m2,1603,2849,58208,,,1603
1949,3,1949m3,1631,3030,58043,,,1631
1949,4,1949m4,1652,3260,57747,,,1652
1949,5,1949m5,1884,3707,57552,,,1884
1949,6,1949m6,1729,3776,57172,,,1729
1949,7,1949m7,1852,4111,57190,,,1852
1949,8,1949m8,1874,4193,57397,,,1874
1949,9,1949m9,1651,4049,57584,,,1651
1949,10,1949m10,2332,4916,57269,,,2332
1949,11,1949m11,1747,3996,58009,,,1747
1949,12,1949m12,1748,4063,57845,,,1748
1950,1,1950m1,1780,4026,57635,,,1780
1950,2,1950m2,1600,3936,57751,,,1600
1950,3,1950m3,1503,3876,57728,,,1503
1950,4,1950m4,1472,3575,58583,,,1472
1950,5,1950m5,1464,3434,58649,,,1464
1950,6,1950m6,1468,3367,59052,,,1468
1950,7,1950m7,1411,3120,59001,,,1411
1950,8,1950m8,1251,2799,59797,,,1251
1950,9,1950m9,1272,2774,59575,,,1272
1950,10,1950m10,1262,2625,59803,,,1262
1950,11,1950m11,1354,2589,59697,,,1354
1950,12,1950m12,1459,2639,59429,,,1459
1951,1,1951m1,1115,2305,59636,,,1115
1951,2,1951m2,1107,2117,59661,,,1107
1951,3,1951m3,1215,2125,60401,,,1215
1951,4,1951m4,1160,1919,59889,,,1160
1951,5,1951m5,1125,1856,60188,,,1125
1951,6,1951m6,1125,1995,59620,,,1125
1951,7,1951m7,1183,1950,60156,,,1183
1951,8,1951m8,1184,1933,59994,,,1184
1951,9,1951m9,1294,2067,59713,,,1294
1951,10,1951m10,1279,2194,60010,,,1279
1951,11,1951m11,1233,2178,59836,,,1233
1951,12,1951m12,1138,1960,60497,,,1138
1952,1,1952m1,1066,1972,60460,,,1066
1952,2,1952m2,1181,1957,60462,,,1181
1952,3,1952m3,1150,1813,59908,,,1150
1952,4,1952m4,1137,1811,59909,,,1137
1952,5,1952m5,1179,1863,60195,,,1179
1952,6,1952m6,1196,1884,60219,,,1196
1952,7,1952m7,1187,1991,59971,,,1187
1952,8,1952m8,1270,2087,59790,,,1270
1952,9,1952m9,1130,1936,60521,,,1130
1952,10,1952m10,1050,1839,60132,,,1050
1952,11,1952m11,1017,1743,60748,,,1017
1952,12,1952m12,1044,1667,60954,,,1044
1953,1,1953m1,1059,1839,61600,,,1059
1953,2,1953m2,1068,1636,61884,,,1068
1953,3,1953m3,1029,1647,62010,,,1029
1953,4,1953m4,1131,1723,61444,,,1131
1953,5,1953m5,973,1596,61019,,,973
1953,6,1953m6,985,1607,61456,,,985
1953,7,1953m7,1002,1660,61397,,,1002
1953,8,1953m8,1076,1665,61151,,,1076
1953,9,1953m9,1163,1821,60906,,,1163
1953,10,1953m10,1242,1974,60893,,,1242
1953,11,1953m11,1307,2211,60738,,,1307
1953,12,1953m12,1761,2818,59977,,,1761
1954,1,1954m1,1631,3077,60024,,,1631
1954,2,1954m2,1706,3331,60663,,,1706
1954,3,1954m3,1729,3607,60186,,,1729
1954,4,1954m4,1725,3749,60185,,,1725
1954,5,1954m5,1643,3767,59908,,,1643
1954,6,1954m6,1573,3551,59792,,,1573
1954,7,1954m7,1623,3659,59643,,,1623
1954,8,1954m8,1587,3854,59853,,,1587
1954,9,1954m9,1640,3927,60282,,,1640
1954,10,1954m10,1535,3666,60270,,,1535
1954,11,1954m11,1457,3402,60357,,,1457
1954,12,1954m12,1414,3196,60116,,,1414
1955,1,1955m1,1398,3157,60753,,,1398
1955,2,1955m2,1296,2969,60727,,,1296
1955,3,1955m3,1184,2918,60964,,,1184
1955,4,1955m4,1301,3049,61515,,,1301
